RDM Export File,,,,,,,,,,,,,,,,,,,
Project Name: Bubu,,,,,,,,,,,,,,,,,,,
Project Location: ,,,,,,,,,,,,,,,,,,,
Operator: tyler,,,,,,,,,,,,,,,,,,,
Project Comments: ,,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference: ,,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference Side: Right,,,,,,,,,,,,,,,,,,,
Y-Offset from Reference (ft): 0,,,,,,,,,,,,,,,,,,,
File Name: Sample2,,,,,,,,,,,,,,,,,,,
Creation Date and Time: 2017-05-08.10:52:41,,,,,,,,,,,,,,,,,,,
File Comments: sb,,,,,,,,,,,,,,,,,,,
Moving Average Window Size (ft): 0.50,,,,,,,,,,,,,,,,,,,
Output Interval (ft): 0.50,,,,,,,,,,,,,,,,,,,
Distance (ft), Station, Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality
5852.5,58+52.50,-97.45660052,31.65174545,211.3,2.75,5.18,95.55,-97.4566078,31.65174116,211.3,0,5.32,98.16,-97.45661509,31.65173688,211.3,-2.75,5.25,96.75
5853,58+53.00,-97.45659967,31.65174433,211.3,2.75,5.26,95.61,-97.45660695,31.65174004,211.3,0,5.56,98.18,-97.45661423,31.65173576,211.3,-2.75,5.28,96.46
5854,58+54.00,-97.45659832,31.65174236,211.3,2.75,5.23,95.6,-97.45660561,31.65173808,211.3,0,5.42,98.13,-97.4566129,31.6517338,211.3,-2.75,5.36,96.33
5854.5,58+54.50,-97.45659614,31.65173954,211.3,2.75,5.19,95.54,-97.45660342,31.65173526,211.3,0,5.41,98.11,-97.45661071,31.65173098,211.3,-2.75,5.29,95.92
5855,58+55.00,-97.45659531,31.65173862,211.3,2.75,5.16,95.56,-97.45660259,31.65173433,211.3,0,5.4,98.11,-97.45660988,31.65173005,211.3,-2.75,5.31,95.73
5855.5,58+55.50,-97.4565941,31.65173727,211.34,2.75,5.18,95.68,-97.45660137,31.65173297,211.34,0,5.41,98.1,-97.45660864,31.65172868,211.34,-2.75,5.33,95.44
5856,58+56.00,-97.45659289,31.65173596,211.4,2.75,5.16,95.85,-97.45660017,31.65173167,211.4,0,5.36,98.03,-97.45660744,31.65172737,211.4,-2.75,5.24,95.45
5857,58+57.00,-97.45659123,31.65173381,211.4,2.75,5.27,95.82,-97.4565985,31.65172952,211.4,0,5.35,98,-97.45660577,31.65172522,211.4,-2.75,5.25,95.66
5857.5,58+57.50,-97.45659011,31.65173249,211.4,2.75,5.2,95.86,-97.45659739,31.65172821,211.4,0,5.42,98.02,-97.45660467,31.65172392,211.4,-2.75,5.19,96.17
5858,58+58.00,-97.45658943,31.6517317,211.4,2.75,5.11,96,-97.45659672,31.65172743,211.4,0,5.35,98.02,-97.45660401,31.65172315,211.4,-2.75,5.23,96.26
