RDM Export File,,,,,,,,,,,,,,,,,,,,
Project Name: BrooOm,,,,,,,,,,,,,,,,,,,,
Project Location: ,,,,,,,,,,,,,,,,,,,,
Operator: ,,,,,,,,,,,,,,,,,,,,
Project Comments: ,,,,,,,,,,,,,,,,,,,,
Lateral Offset Reference: Distance From Lane Edge,,,,,,,,,,,,,,,,,,,,
Lateral Offset Reference Side: Right,,,,,,,,,,,,,,,,,,,,
Lateral Offset from Reference (ft): 0,,,,,,,,,,,,,,,,,,,,
Collection Direction: Decreasing Distance,,,,,,,,,,,,,,,,,,,,
Sensor Lateral Offsets (ft): Serial#3=-2;Serial#4=0;Serial#7=2;,,,,,,,,,,,,,,,,,,,,
Sensor Positions on metal rail(ft): Serial#3=2L;Serial#4=0;Serial#7=2R;,,,,,,,,,,,,,,,,,,,,
Lot: ,,,,,,,,,,,,,,,,,,,,
Sublot: ,,,,,,,,,,,,,,,,,,,,
File Name: Sample4,,,,,,,,,,,,,,,,,,,,
File Type: Time,,,,,,,,,,,,,,,,,,,,
Creation Date and Time: 2017-09-20.14:33:40,,,,,,,,,,,,,,,,,,,,
File Comments: ,,,,,,,,,,,,,,,,,,,,
Moving Average Window Size (sec): 0.25,,,,,,,,,,,,,,,,,,,,
Output Interval (sec): 0.01,,,,,,,,,,,,,,,,,,,,
GPS Time Lag (sec): 0.00,,,,,,,,,,,,,,,,,,,,
Time (sec), Distance (ft), Station, Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Lateral Offset (ft),Dielectric,Signal Quality
3.55,0,0+0.00,0,0,0,-2,5.18,95.28,0,0,0,0,5.45,95.73,0,0,0,2,5.54,96.57
3.55,0,0+0.00,0,0,0,-2,5.17,95.26,0,0,0,0,5.39,95.73,0,0,0,2,5.53,96.56
3.55,0,0+0.00,0,0,0,-2,5.2,95.25,0,0,0,0,5.45,95.72,0,0,0,2,5.5,96.56
3.55,0,0+0.00,0,0,0,-2,5.16,95.24,0,0,0,0,5.43,95.71,0,0,0,2,5.52,96.54
3.55,0,0+0.00,0,0,0,-2,5.18,95.24,0,0,0,0,5.45,95.7,0,0,0,2,5.55,96.53
3.44,0,0+0.00,0,0,0,-2,5.21,95.29,0,0,0,0,5.49,95.68,0,0,0,2,5.55,96.52
3.44,0,0+0.00,0,0,0,-2,5.21,95.28,0,0,0,0,5.48,95.67,0,0,0,2,5.51,96.54
3.44,0,0+0.00,0,0,0,-2,5.21,95.27,0,0,0,0,5.5,95.66,0,0,0,2,5.52,96.53
3.44,0,0+0.00,0,0,0,-2,5.23,95.26,0,0,0,0,5.49,95.64,0,0,0,2,5.57,96.52
3.44,0,0+0.00,0,0,0,-2,5.22,95.25,0,0,0,0,5.5,95.65,0,0,0,2,5.57,96.51
3.44,0,0+0.00,0,0,0,-2,5.18,95.24,0,0,0,0,5.37,95.65,0,0,0,2,5.47,96.67
3.34,0,0+0.00,0,0,0,-2,5.02,95.23,0,0,0,0,5.4,95.63,0,0,0,2,5.4,96.66
3.34,0,0+0.00,0,0,0,-2,5.13,95.23,0,0,0,0,5.42,95.62,0,0,0,2,5.48,96.65
3.34,0,0+0.00,0,0,0,-2,5.15,95.22,0,0,0,0,5.43,95.61,0,0,0,2,5.5,96.64
3.34,0,0+0.00,0,0,0,-2,5.21,95.21,0,0,0,0,5.46,95.6,0,0,0,2,5.5,96.62
3.34,0,0+0.00,0,0,0,-2,5.23,95.22,0,0,0,0,5.35,95.65,0,0,0,2,5.49,96.61
3.34,0,0+0.00,0,0,0,-2,5.18,95.21,0,0,0,0,5.51,95.74,0,0,0,2,5.54,96.64
3.34,0,0+0.00,0,0,0,-2,5.23,95.2,0,0,0,0,5.47,95.82,0,0,0,2,5.53,96.62
3.23,0,0+0.00,0,0,0,-2,5.19,95.19,0,0,0,0,5.51,95.82,0,0,0,2,5.51,96.61
3.23,0,0+0.00,0,0,0,-2,5.14,95.18,0,0,0,0,5.46,95.8,0,0,0,2,5.59,96.6
3.23,0,0+0.00,0,0,0,-2,5.25,95.17,0,0,0,0,5.51,95.79,0,0,0,2,5.64,96.63
3.23,0,0+0.00,0,0,0,-2,5.21,95.22,0,0,0,0,5.48,95.78,0,0,0,2,5.52,96.67
3.23,0,0+0.00,0,0,0,-2,5.16,95.22,0,0,0,0,5.47,95.78,0,0,0,2,5.52,96.65
3.23,0,0+0.00,0,0,0,-2,5.23,95.21,0,0,0,0,5.48,95.77,0,0,0,2,5.56,96.65
3.14,0,0+0.00,0,0,0,-2,5.17,95.22,0,0,0,0,5.46,95.75,0,0,0,2,5.46,96.64
3.14,0,0+0.00,0,0,0,-2,5.21,95.22,0,0,0,0,5.41,95.76,0,0,0,2,5.48,96.62
3.14,0,0+0.00,0,0,0,-2,5.18,95.22,0,0,0,0,5.42,95.75,0,0,0,2,5.51,96.61
3.14,0,0+0.00,0,0,0,-2,5.21,95.21,0,0,0,0,5.45,95.74,0,0,0,2,5.45,96.61
3.14,0,0+0.00,0,0,0,-2,5.19,95.2,0,0,0,0,5.41,95.76,0,0,0,2,5.41,96.59
3.14,0,0+0.00,0,0,0,-2,5.16,95.2,0,0,0,0,5.36,95.75,0,0,0,2,5.43,96.59
3.03,0,0+0.00,0,0,0,-2,5.19,95.2,0,0,0,0,5.35,95.84,0,0,0,2,5.5,96.59
3.03,0,0+0.00,0,0,0,-2,5.2,95.24,0,0,0,0,5.47,95.85,0,0,0,2,5.51,96.6
3.03,0,0+0.00,0,0,0,-2,5.18,95.24,0,0,0,0,5.42,95.86,0,0,0,2,5.49,96.58
3.03,0,0+0.00,0,0,0,-2,5.25,95.13,0,0,0,0,5.37,95.88,0,0,0,2,5.51,96.58
3.03,0,0+0.00,0,0,0,-2,5.16,95.13,0,0,0,0,5.38,95.89,0,0,0,2,5.5,96.56
