RDM Export File,,,,,,,,,,,,,,,,,,
Project Name: Booboo,,,,,,,,,,,,,,,,,,
Project Location: ,,,,,,,,,,,,,,,,,,
Operator: tyler,,,,,,,,,,,,,,,,,,
Project Comments: ,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference: ,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference Side: Right,,,,,,,,,,,,,,,,,,
Y-Offset from Reference (ft): 0,,,,,,,,,,,,,,,,,,
File Name: Sample1,,,,,,,,,,,,,,,,,,
Creation Date and Time: 2017-05-08.10:06:48,,,,,,,,,,,,,,,,,,
File Comments: sb,,,,,,,,,,,,,,,,,,
Moving Average Window Size (ft): 0.50,,,,,,,,,,,,,,,,,,
Output Interval (ft): 0.50,,,,,,,,,,,,,,,,,,
Scan#, Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality
12,-97.45397253,31.64919011,216.9,2.75,5.17,96.27,-97.45397733,31.64918517,216.9,0,5.2,96.4,-97.45398214,31.64918023,216.9,-2.75,5.21,97.57
13,-97.45397253,31.64919011,216.9,2.75,5.23,96.24,-97.45397733,31.64918517,216.9,0,5.16,96.55,-97.45398214,31.64918023,216.9,-2.75,5.19,97.56
14,-97.45397253,31.64919011,216.9,2.75,5.2,96.23,-97.45397733,31.64918517,216.9,0,5.21,96.52,-97.45398214,31.64918023,216.9,-2.75,5.26,97.53
15,-97.45397253,31.64919011,216.9,2.75,5.29,96.23,-97.45397733,31.64918517,216.9,0,5.16,96.5,-97.45398214,31.64918023,216.9,-2.75,5.28,97.52
16,-97.45397253,31.64919011,216.9,2.75,5.22,96.21,-97.45397733,31.64918517,216.9,0,5.22,96.48,-97.45398214,31.64918023,216.9,-2.75,5.28,97.49
17,-97.45397253,31.64919011,216.9,2.75,5.2,96.24,-97.45397733,31.64918517,216.9,0,5.14,96.46,-97.45398214,31.64918023,216.9,-2.75,5.27,97.47
18,-97.45397253,31.64919011,216.9,2.75,5.27,96.22,-97.45397733,31.64918517,216.9,0,5.2,96.51,-97.45398214,31.64918023,216.9,-2.75,5.2,97.44
19,-97.45397253,31.64919011,216.9,2.75,5.25,96.22,-97.45397733,31.64918517,216.9,0,5.18,96.5,-97.45398214,31.64918023,216.9,-2.75,5.24,97.48
20,-97.45397253,31.64919011,216.9,2.75,5.24,96.2,-97.45397733,31.64918517,216.9,0,5.14,96.48,-97.45398214,31.64918023,216.9,-2.75,5.22,97.52
21,-97.45397253,31.64919011,216.9,2.75,5.2,96.23,-97.45397733,31.64918517,216.9,0,5.21,96.51,-97.45398214,31.64918023,216.9,-2.75,5.17,97.54
22,-97.45397253,31.64919011,216.9,2.75,5.21,96.22,-97.45397733,31.64918517,216.9,0,5.2,96.5,-97.45398214,31.64918023,216.9,-2.75,5.25,97.54
23,-97.45397253,31.64919011,216.9,2.75,5.28,96.26,-97.45397733,31.64918517,216.9,0,5.2,96.54,-97.45398214,31.64918023,216.9,-2.75,5.21,97.52
24,-97.45397253,31.64919011,216.9,2.75,5.24,96.24,-97.45397733,31.64918517,216.9,0,5.15,96.56,-97.45398214,31.64918023,216.9,-2.75,5.26,97.49
25,-97.45397253,31.64919011,216.9,2.75,5.2,96.24,-97.45397733,31.64918517,216.9,0,5.19,96.54,-97.45398214,31.64918023,216.9,-2.75,5.26,97.47
26,-97.45397253,31.64919011,216.9,2.75,5.22,96.22,-97.45397733,31.64918517,216.9,0,5.16,96.52,-97.45398214,31.64918023,216.9,-2.75,5.31,97.44
27,-97.45397253,31.64919011,216.9,2.75,5.25,96.21,-97.45397733,31.64918517,216.9,0,5.19,96.53,-97.45398214,31.64918023,216.9,-2.75,5.27,97.42
28,-97.45397253,31.64919011,216.9,2.75,5.24,96.21,-97.45397733,31.64918517,216.9,0,5.26,96.51,-97.45398214,31.64918023,216.9,-2.75,5.27,97.42
29,-97.45397253,31.64919011,216.9,2.75,5.25,96.19,-97.45397733,31.64918517,216.9,0,5.15,96.49,-97.45398214,31.64918023,216.9,-2.75,5.19,97.41
30,-97.45397253,31.64919011,216.9,2.75,5.23,96.17,-97.45397733,31.64918517,216.9,0,5.19,96.47,-97.45398214,31.64918023,216.9,-2.75,5.21,97.39
31,-97.45397253,31.64919011,216.9,2.75,5.22,96.17,-97.45397733,31.64918517,216.9,0,5.13,96.53,-97.45398214,31.64918023,216.9,-2.75,5.19,97.37
32,-97.45397253,31.64919011,216.9,2.75,5.26,96.15,-97.45397733,31.64918517,216.9,0,5.16,96.51,-97.45398214,31.64918023,216.9,-2.75,5.18,97.37
33,-97.45397253,31.64919011,216.9,2.75,5.23,96.13,-97.45397733,31.64918517,216.9,0,5.2,96.53,-97.45398214,31.64918023,216.9,-2.75,5.23,97.34
34,-97.45397253,31.64919011,216.9,2.75,5.3,96.13,-97.45397733,31.64918517,216.9,0,5.17,96.51,-97.45398214,31.64918023,216.9,-2.75,5.13,97.35
35,-97.45397253,31.64919011,216.9,2.75,5.27,96.12,-97.45397733,31.64918517,216.9,0,5.16,96.5,-97.45398214,31.64918023,216.9,-2.75,5.18,97.32
36,-97.45397253,31.64919011,216.9,2.75,5.27,96.12,-97.45397733,31.64918517,216.9,0,5.16,96.48,-97.45398214,31.64918023,216.9,-2.75,5.18,97.36
37,-97.45397253,31.64919011,216.9,2.75,5.25,96.1,-97.45397733,31.64918517,216.9,0,5.21,96.46,-97.45398214,31.64918023,216.9,-2.75,5.26,97.33
